x, y
autogen1:Match2, ""2002-07-15T00:00:00"^^xsd:dateTime"
autogen1:Match969, ""2004-06-03T00:00:00"^^xsd:dateTime"
autogen1:Match958, ""2004-06-15T00:00:00"^^xsd:dateTime"
autogen1:Match954, ""2004-07-19T00:00:00"^^xsd:dateTime"
autogen1:Match348, ""2004-08-07T00:00:00"^^xsd:dateTime"
autogen1:Match337, ""2004-11-13T00:00:00"^^xsd:dateTime"
autogen1:Match953, ""2004-11-15T00:00:00"^^xsd:dateTime"
autogen1:Match858, ""2004-12-07T00:00:00"^^xsd:dateTime"
autogen1:Match947, ""2005-04-13T00:00:00"^^xsd:dateTime"
autogen1:Match325, ""2005-05-02T00:00:00"^^xsd:dateTime"
autogen1:Match993, ""2005-09-19T00:00:00"^^xsd:dateTime"
autogen1:Match942, ""2005-10-17T00:00:00"^^xsd:dateTime"
autogen1:Match54, ""2005-11-04T00:00:00"^^xsd:dateTime"
autogen1:Match314, ""2005-12-05T00:00:00"^^xsd:dateTime"
autogen1:Match916, ""2006-06-17T00:00:00"^^xsd:dateTime"
autogen1:Match747, ""2006-08-30T00:00:00"^^xsd:dateTime"
autogen1:Match992, ""2006-10-16T00:00:00"^^xsd:dateTime"
autogen1:Match915, ""2007-03-29T00:00:00"^^xsd:dateTime"
autogen1:Match847, ""2007-08-28T00:00:00"^^xsd:dateTime"
autogen1:Match897, ""2008-03-31T00:00:00"^^xsd:dateTime"
autogen1:Match906, ""2008-04-14T00:00:00"^^xsd:dateTime"
autogen1:Match979, ""2008-04-14T00:00:00"^^xsd:dateTime"
autogen1:Match896, ""2008-05-19T00:00:00"^^xsd:dateTime"
autogen1:Match949, ""2008-06-16T00:00:00"^^xsd:dateTime"
autogen1:Match814, ""2008-09-30T00:00:00"^^xsd:dateTime"
autogen1:Match370, ""2008-10-25T00:00:00"^^xsd:dateTime"
autogen1:Match102, ""2008-10-31T00:00:00"^^xsd:dateTime"
autogen1:Match110, ""2008-10-31T00:00:00"^^xsd:dateTime"
autogen1:Match119, ""2008-10-31T00:00:00"^^xsd:dateTime"
autogen1:Match87, ""2008-10-31T00:00:00"^^xsd:dateTime"
autogen1:Match647, ""2009-06-26T00:00:00"^^xsd:dateTime"
autogen1:Match895, ""2009-08-01T00:00:00"^^xsd:dateTime"
autogen1:Match978, ""2009-08-01T00:00:00"^^xsd:dateTime"
autogen1:Match914, ""2009-08-04T00:00:00"^^xsd:dateTime"
autogen1:Match865, ""2009-08-22T00:00:00"^^xsd:dateTime"
autogen1:Match866, ""2009-08-22T00:00:00"^^xsd:dateTime"
autogen1:Match867, ""2009-08-22T00:00:00"^^xsd:dateTime"
autogen1:Match886, ""2009-09-05T00:00:00"^^xsd:dateTime"
autogen1:Match905, ""2009-10-02T00:00:00"^^xsd:dateTime"
autogen1:Match936, ""2009-11-10T00:00:00"^^xsd:dateTime"
autogen1:Match912, ""2009-12-18T00:00:00"^^xsd:dateTime"
autogen1:Match945, ""2009-12-18T00:00:00"^^xsd:dateTime"
autogen1:Match987, ""2009-12-18T00:00:00"^^xsd:dateTime"
autogen1:Match990, ""2009-12-18T00:00:00"^^xsd:dateTime"
autogen1:Match925, ""2010-02-02T00:00:00"^^xsd:dateTime"
autogen1:Match803, ""2010-03-09T00:00:00"^^xsd:dateTime"
autogen1:Match903, ""2010-05-11T00:00:00"^^xsd:dateTime"
autogen1:Match934, ""2010-06-04T00:00:00"^^xsd:dateTime"
autogen1:Match963, ""2010-06-04T00:00:00"^^xsd:dateTime"
autogen1:Match911, ""2010-06-18T00:00:00"^^xsd:dateTime"
autogen1:Match962, ""2010-06-18T00:00:00"^^xsd:dateTime"
autogen1:Match933, ""2010-07-02T00:00:00"^^xsd:dateTime"
autogen1:Match892, ""2010-07-13T00:00:00"^^xsd:dateTime"
